File,Vf (V),Vp (V),Te (eV),ne (m⁻³),ni (m⁻³),n (m⁻³),λD (m),rp/λD,Sheath,Converged
Kr_15sccm_10A.csv,9.87068170534595,19.90662375,3.6783380229158142,3.031650465514702e+16,1.1819368698297597e+18,6.061266872424534e+17,8.188520156484799e-05,0.6203807162857083,oml,True
Kr_15sccm_10A2.csv,10.527598635880038,20.784569125,3.68953608672849,3.687520304007493e+16,1.3504554794301755e+18,6.936653412351252e+17,7.435973599034794e-05,0.6831654163833227,oml,True
Kr_15sccm_11A.csv,11.314291432561918,17.711053375,1.741648757347181,6.07605787427303e+16,1.0951175117416878e+18,5.77939045242209e+17,3.980049782562395e-05,1.2763659445308362,oml,True
Kr_15sccm_12A.csv,9.760447463777329,16.597293875,1.7503988845258136,6.916427256367074e+16,7.042876284207721e+17,3.8672595049222144e+17,3.739786204399232e-05,1.3583664205253847,oml,True
Kr_15sccm_12p5A.csv,9.589266975476715,16.764796875,1.8952904375622996,6.102941010107338e+16,6.75941135845372e+17,3.684852729732227e+17,4.142737997281733e-05,1.2262421623895243,oml,True
Kr_15sccm_13A.csv,9.875105614095355,17.1221235,1.8001957269550806,7.452567319221782e+16,6.963579375099707e+17,3.854418053510943e+17,3.653642727379527e-05,1.3903931990754577,oml,True
Kr_15sccm_14A.csv,9.832523953600974,17.332937625,1.84411191842472,7.778567339233512e+16,7.053081381306031e+17,3.915469057614691e+17,3.619620152664999e-05,1.4034621826988598,oml,True
Kr_15sccm_15A.csv,9.935061063208734,16.563131374999998,1.7435695449034472,7.2156480969942e+16,9.023809765148372e+17,4.872687287423896e+17,3.654274210621136e-05,1.3901529297486754,oml,True
Kr_15sccm_16A.csv,10.157296782521142,17.236381625,1.9084309810890963,6.783094366584751e+16,1.095086586197121e+18,5.814587649314843e+17,3.943151538310293e-05,1.2883096048032854,oml,True
Kr_15sccm_17A.csv,10.18510830753952,17.308134875,1.9751906598224105,6.34632098526545e+16,1.230500457566708e+18,6.469818337096813e+17,4.14727336569209e-05,1.2249011704952462,oml,True
Kr_15sccm_17p5A.csv,10.268570749280766,16.751368624999998,1.941862019204844,6.261905922012725e+16,1.3602698159462228e+18,7.11444437583175e+17,4.139759224437406e-05,1.2271245076313282,oml,True
Kr_15sccm_18A.csv,9.91245285055168,17.22890525,2.0464882594595437,5.829177604431914e+16,9.489880304200168e+17,5.0363990323216794e+17,4.4047387292356375e-05,1.1533033653693103,oml,True
Kr_15sccm_19A.csv,9.922878430330167,17.7097665,2.182822830118372,6.193534851397998e+16,1.022955468704825e+18,5.424454086094025e+17,4.413255985675807e-05,1.151077575488088,oml,True
Kr_15sccm_20A.csv,10.063235863265488,17.689457750000003,2.152643409359827,6.322912921783334e+16,1.0235411436541044e+18,5.433851364359689e+17,4.337571179118809e-05,1.1711623372211768,oml,True
Kr_15sccm_21A.csv,10.255808795651422,18.08631025,2.2782623811937097,6.546938604881638e+16,1.1524059808558075e+18,6.089376834523119e+17,4.3853261984975525e-05,1.1584086952848454,oml,True
Kr_15sccm_22A.csv,10.301417958119565,18.212876625,2.3145421987645003,6.713457294350801e+16,1.2551070971832535e+18,6.611208350633807e+17,4.364943277231368e-05,1.163818101943855,oml,True
Kr_15sccm_22p5A.csv,10.549716207847116,18.650958000000003,2.3152124162812133,7.264372758112749e+16,1.3392288654086282e+18,7.059362964948778e+17,4.196773480590113e-05,1.2104537029446,oml,True
Kr_15sccm_23A.csv,10.458458258826758,18.751722125,2.4222850730080854,6.99909197349035e+16,1.3428887151230554e+18,7.064398174289795e+17,4.373316858388063e-05,1.161589741721209,oml,True
Kr_15sccm_24A.csv,11.90617380918445,19.886764749999998,2.5780619461468617,5.918213834594327e+16,1.5455651623528481e+18,8.023736503493957e+17,4.906485456424107e-05,1.0353643244470865,oml,True
Kr_15sccm_25A.csv,11.267419204331548,19.615384499999998,2.778089566140671,5.487808101647647e+16,1.5986245064181558e+18,8.267512937173161e+17,5.2892346153175345e-05,0.9604414191210966,oml,True
Kr_15sccm_27p5A.csv,11.094745549484534,19.5941885,2.611009932368514,8.340718527575642e+16,1.8094560505922301e+18,9.464316179339932e+17,4.159313898796207e-05,1.2213552820503062,oml,True
Kr_15sccm_27p5A2.csv,11.270112423713709,20.223109875,2.816526790416012,6.299200122537141e+16,2.4965541859458816e+18,1.2797730935856266e+18,4.970881479493126e-05,1.021951543394674,oml,True
Kr_15sccm_30A.csv,11.165884604474979,20.63987475,2.90832583038403,8.10751475504836e+16,3.277481042842508e+18,1.6792780951964956e+18,4.4524271719466225e-05,1.1409507227894757,oml,True
Zn_15sccm_15A.csv,6.345242047143454,19.163226875000003,5.553689061421038,2.9690149861997644e+16,1.9354797764503613e+18,9.825849631561795e+17,0.00010167255881529613,0.49964317404744407,oml,True
Zn_15sccm_15A2.csv,6.457817245887588,16.89592825,4.399093110543327,3.3030464011814864e+16,1.8596272198817654e+18,9.463288419467901e+17,8.579133142983917e-05,0.5921344167684895,oml,True
Zn_15sccm_15A3.csv,6.809691803018212,13.126940999999999,1.4197115420479245,1.9338414241430765e+17,9.842053332405202e+17,5.887947378274139e+17,2.0142287714919287e-05,2.522057112826003,oml,True
Zn_15sccm_15A4.csv,6.454835556424977,12.29170375,1.273790444785796,2.434624786211487e+17,1.0802717563195448e+18,6.618671174703468e+17,1.7004040938095326e-05,2.987525152694102,oml,True
