trace_id,legacy_success,legacy_error,Vp_bayes_median,Vp_legacy_value,Vp_delta,Te_bayes_median,Te_legacy_value,Te_delta,ne_bayes_median,ne_legacy_value,ne_delta,n_qn_bayes_median,n_qn_legacy_value,n_qn_delta,p_bayes_median,p_legacy_value,p_delta
kr_15sccm_10a,True,,20.703314132065515,16.346622333333332,4.356691798732182,6.727508438121262,1.7909295682026425,4.93657886991862,6.069670695962914e+16,5.957744708685505e+16,1119259872774088.0,6.069670695962914e+16,3.928567241174e+16,2.1411034547889136e+16,2.82955334663995,,
kr_15sccm_10a2,True,,19.071801046284225,18.800023749999998,0.27177729628422753,5.19382657388386,1.8971314438098874,3.2966951300739726,5.654252410450461e+16,8.256934901462091e+16,-2.6026824910116304e+16,5.654252410450461e+16,5.2994755360456856e+16,3547768744047752.0,2.911762434426147,,
kr_15sccm_11a,True,,16.776856408709044,16.514305,0.2625514087090437,2.6353520785537694,1.1669223296804327,1.4684297488733367,8.732568631099971e+16,1.1871215213287949e+17,-3.1386465821879776e+16,8.732568631099971e+16,6.3272934097231304e+16,2.405275221376841e+16,2.939946876919154,,
kr_15sccm_12a,True,,15.973801244369277,15.5317705,0.44203074436927636,2.707189799439403,1.3539638696778165,1.3532259297615867,1.0843150408297168e+17,1.2861184068459011e+17,-2.018033660161843e+16,1.0843150408297168e+17,7.606206880174357e+16,3.236943528122811e+16,2.886148739194072,,
kr_15sccm_12p5a,True,,16.098951125377823,15.4905105,0.6084406253778241,2.966209052034242,1.4152671999642699,1.550941852069972,9.542026188102026e+16,1.1281469659269357e+17,-1.7394434711673312e+16,9.542026188102026e+16,6.7258871100600136e+16,2.816139078042012e+16,2.8369157475404703,,
kr_15sccm_13a,True,,17.416282633837522,16.142234600000002,1.27404803383752,2.8871878722659168,1.400745887144743,1.4864419851211739,1.5081133185208205e+17,1.4214210237014872e+17,8669229481933328.0,1.5081133185208205e+17,8.143946404093816e+16,6.937186781114389e+16,2.788744909612809,,
kr_15sccm_14a,True,,19.17537487338504,16.6607865,2.5145883733850383,3.32504893971943,1.5699564017811425,1.7550925379382876,2.4716097104822058e+17,1.4864596625533315e+17,9.851500479288742e+16,2.4716097104822058e+17,8.986148845697808e+16,1.572994825912425e+17,2.720399028526903,,
kr_15sccm_15a,True,,19.041769162204208,17.1238685,1.9179006622042074,3.4277723369834954,1.7189664358379648,1.7088059011455305,2.3563915091101187e+17,1.5065978097428378e+17,8.49793699367281e+16,2.3563915091101187e+17,1.0551990807967173e+17,1.3011924283134014e+17,2.8235026136635453,,
kr_15sccm_16a,True,,18.66995015818902,15.9092605,2.760689658189021,3.2540549370253844,1.410805865317942,1.8432490717074423,1.9261338690792947e+17,1.3009530496659125e+17,6.251808194133822e+16,1.9261338690792947e+17,7.727467761810718e+16,1.1533870928982229e+17,2.1704585376837486,,
kr_15sccm_17a,True,,56.56151555417355,15.408548,41.15296755417356,5.967873350264721,1.2723850247687276,4.695488325495994,5.3258262790248845e+17,1.240395138931601e+17,4.085431140093284e+17,5.3258262790248845e+17,7.235302979070286e+16,4.602295981117856e+17,1.784284168303747,,
kr_15sccm_17p5a,True,,16.985195300851657,16.454065749999998,0.5311295508516594,2.7628347215932916,1.397525747915711,1.3653089736775805,1.471274549649279e+17,1.4052496138969414e+17,6602493575233760.0,1.471274549649279e+17,9.118888263267678e+16,5.593857233225112e+16,1.735895165086706,,
kr_15sccm_18a,True,,17.642929646941276,16.288288,1.3546416469412748,3.2889540595801052,1.5311292187938839,1.7578248407862214,1.1585593999895274e+17,1.1461488680612462e+17,1241053192828112.0,1.1585593999895274e+17,6.80069508121241e+16,4.784898918682864e+16,2.7433489675496263,,
kr_15sccm_19a,True,,17.83828446576282,15.743,2.095284465762818,3.467274080197736,1.5226504585379206,1.9446236216598156,1.1699105646603355e+17,1.003827555518173e+17,1.6608300914216256e+16,1.1699105646603355e+17,5.841512424903735e+16,5.85759322169962e+16,2.791141835990241,,
kr_15sccm_20a,True,,19.728788157688435,15.7427915,3.9859966576884354,3.8698670768503294,1.480656375362783,2.3892107014875466,1.898063320372148e+17,1.0285617723497325e+17,8.695015480224154e+16,1.898063320372148e+17,5.921976554541338e+16,1.305865664918014e+17,2.7405336630970063,,
kr_15sccm_21a,True,,18.866309219023492,16.803118666666666,2.0631905523568257,3.702700772551885,1.615329736496808,2.087371036055077,1.436420848052181e+17,1.2637185292349107e+17,1.7270231881727024e+16,1.436420848052181e+17,7.51638065064037e+16,6.84782782988144e+16,2.7173056133536413,,
kr_15sccm_22a,True,,19.237202382748162,17.753836,1.4833663827481622,3.715734984326566,1.7186186999309416,1.9971162843956243,1.6762276325739808e+17,1.4849761193180576e+17,1.912515132559232e+16,1.6762276325739808e+17,9.19154487794345e+16,7.570731447796358e+16,2.2889162504092124,,
kr_15sccm_22p5a,True,,20.019182583045705,17.415123,2.6040595830457036,3.5827336531242633,1.600781789905551,1.9819518632187123,2.1898664911052986e+17,1.4706306460754016e+17,7.19235845029897e+16,2.1898664911052986e+17,8.863745017475035e+16,1.303491989357795e+17,1.9767489041999622,,
kr_15sccm_23a,True,,19.795867598849778,17.249689,2.546178598849778,3.7778706407339984,1.7008959019902394,2.076974738743759,1.8542505697526662e+17,1.3350532502859614e+17,5.191973194667048e+16,1.8542505697526662e+17,8.024962097576898e+16,1.0517543599949765e+17,2.1401497888509513,,
kr_15sccm_24a,True,,21.897208082599583,17.976190666666664,3.921017415932919,4.400759072673679,1.5957754199042065,2.804983652769473,1.6676769986123955e+17,1.0889351785542432e+17,5.787418200581523e+16,1.6676769986123955e+17,6.585928967651098e+16,1.0090841018472858e+17,2.5385843114797653,,
kr_15sccm_25a,True,,21.01543827287111,20.118833875,0.8966043978711085,4.525323326614027,1.91264670432314,2.612676622290887,1.3744619904432706e+17,1.421241333369563e+17,-4677934292629248.0,1.3744619904432706e+17,9.291577505796501e+16,4.453042398636205e+16,2.4422232416578127,,
kr_15sccm_27p5a,True,,20.670803965858042,18.79953225,1.8712717158580432,3.5620082570426588,1.7973279585197184,1.7646802985229404,2.6427933163417606e+17,1.8310011855506582e+17,8.117921307911024e+16,2.6427933163417606e+17,1.13893612379426e+17,1.5038571925475008e+17,1.5053365409494106,,
kr_15sccm_27p5a2,True,,20.54979304077064,17.5004845,3.0493085407706424,3.6743100497033145,1.6381521514691435,2.036157898234171,1.749102678927027e+17,1.0854044349177482e+17,6.636982440092787e+16,1.749102678927027e+17,5.444546608241081e+16,1.2046480181029187e+17,1.2182724706995214,,
kr_15sccm_30a,True,,21.55076094258402,17.418031,4.132729942584021,3.9883728831028966,1.573536718502571,2.4148361646003256,2.243166638747228e+17,1.2314218446655386e+17,1.0117447940816896e+17,2.243166638747228e+17,6.014699895879757e+16,1.6416966491592525e+17,1.3681181496898964,,
zn_15sccm_15a,True,,16.982933863295358,18.501748999999997,-1.5188151367046387,8.95633375290625,3.2139485811949067,5.742385171711343,5.666874497312008e+16,7.580555407746034e+16,-1.9136809104340256e+16,5.666874497312008e+16,4.2396209885598584e+16,1.4272535087521496e+16,2.8898182292351366,,
zn_15sccm_15a2,True,,16.276478761691678,15.447554499999999,0.8289242616916788,7.312856698520031,2.4737795250901016,4.83907717342993,6.452774569766056e+16,7.542284285054645e+16,-1.0895097152885888e+16,6.452774569766056e+16,4.766195033327921e+16,1.6865795364381352e+16,2.768266031711118,,
zn_15sccm_15a3,True,,14.192636513956664,11.724625999999999,2.4680105139566653,2.1793340231672325,1.0938084645463517,1.0855255586208807,7.43077164257103e+17,3.1707767041614464e+17,4.2599949384095834e+17,7.43077164257103e+17,1.727967808651142e+17,5.7028038339198874e+17,1.803836626955874,,
zn_15sccm_15a4,True,,11.91131931686773,10.891247,1.0200723168677293,1.9718208477417356,0.9850688326330086,0.986752015108727,4.5583762124056064e+17,3.8787001474189645e+17,6.796760649866419e+16,4.5583762124056064e+17,2.157871322429143e+17,2.4005048899764634e+17,2.798487794704948,,
